SubscriptionName,Date,ServiceName,ServiceResource,Quantity,Cost
DP100 Sponsorship,1/7/2021,Key Vault,Operations,0.0002,6e-06
DP100 Sponsorship,1/7/2021,Storage,Read Operations,0.0004,1.44e-07
DP100 Sponsorship,1/7/2021,Storage,All Other Operations,0.0022,9.46e-06
DP100 Sponsorship,1/7/2021,Storage,LRS List and Create Container Operations,0.0001,5.4e-06
DP100 Sponsorship,1/7/2021,Storage,Read Operations,0.0001,1.5e-07
DP100 Sponsorship,1/7/2021,Bandwidth,Data Transfer Out,0.000416,3.6192e-05
DP100 Sponsorship,1/7/2021,Storage,Write Operations,0.0004,1.44e-07
DP100 Sponsorship,1/7/2021,Storage,Batch Write Operations,0.0038,1.368e-06
DP100 Sponsorship,1/7/2021,Storage,P4 Disks,0.010752,0.0624390144
DP100 Sponsorship,1/7/2021,Virtual Machines,D2 v3/D2s v3,3.400008,0.40800096
DP100 Sponsorship,1/7/2021,Virtual Network,Dynamic Public IP,3.114722,0.012458888
DP100 Sponsorship,1/7/2021,Storage,LRS Write Operations,0.0001,1.5e-06
DP100 Sponsorship,1/8/2021,Virtual Network,Static Public IP,10.835278,0.0390070008
DP100 Sponsorship,1/8/2021,Storage,All Other Operations,0.0006,2.58e-06
DP100 Sponsorship,1/8/2021,Network Watcher,Diagnostic Tool API,1.0,0.001
DP100 Sponsorship,1/8/2021,Azure DNS,Public Zones,0.016129,0.0080645
DP100 Sponsorship,1/8/2021,Bandwidth,Data Transfer Out,0.094531,0.008224197
DP100 Sponsorship,1/8/2021,Storage,Batch Write Operations,0.0146,5.256e-06
DP100 Sponsorship,1/8/2021,Storage,P4 Disks,0.032256,0.1873170432
DP100 Sponsorship,1/8/2021,Virtual Machines,D2 v3/D2s v3,10.533344,1.26400128
DP100 Sponsorship,1/8/2021,Virtual Network,Dynamic Public IP,1.551389,0.006205556
DP100 Sponsorship,1/9/2021,Virtual Network,Static Public IP,28.0,0.1008
DP100 Sponsorship,1/9/2021,Storage,All Other Operations,0.0002,8.6e-07
DP100 Sponsorship,1/9/2021,Azure DNS,Public Zones,0.032258,0.016129
DP100 Sponsorship,1/9/2021,Storage,Batch Write Operations,0.0146,5.256e-06
DP100 Sponsorship,1/9/2021,Storage,P4 Disks,0.032256,0.1873170432
DP100 Sponsorship,1/10/2021,Virtual Network,Static Public IP,20.0,0.072
DP100 Sponsorship,1/10/2021,Storage,All Other Operations,0.0002,8.6e-07
DP100 Sponsorship,1/10/2021,Storage,LRS Data Stored,2.4e-05,1.08e-06
DP100 Sponsorship,1/10/2021,Azure DNS,Public Zones,0.032258,0.016129
DP100 Sponsorship,1/10/2021,Bandwidth,Data Transfer Out,0.021934,0.001908258
DP100 Sponsorship,1/10/2021,Storage,Batch Write Operations,0.0146,5.256e-06
DP100 Sponsorship,1/10/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,2e-06,1e-07
DP100 Sponsorship,1/10/2021,Storage,P4 Disks,0.032256,0.1873170432
DP100 Sponsorship,1/10/2021,Virtual Machines,D2 v3/D2s v3,9.033354,1.08400248
DP100 Sponsorship,1/11/2021,Logic Apps,Built-in Actions,2.0,5e-05
DP100 Sponsorship,1/11/2021,Virtual Network,Static Public IP,23.133333,0.0832799988
DP100 Sponsorship,1/11/2021,Logic Apps,Data Retention,3e-06,3.6e-07
DP100 Sponsorship,1/11/2021,Logic Apps,Standard Connector Actions,1.0,0.000125
DP100 Sponsorship,1/11/2021,Storage,LRS Data Stored,4.2e-05,1.89e-06
DP100 Sponsorship,1/11/2021,Virtual Machines,D4 v3/D4s v3,19.550051,4.69201224
DP100 Sponsorship,1/11/2021,Storage,LRS Snapshots,0.105007,0.00525035
DP100 Sponsorship,1/11/2021,Storage,Disk Operations,0.0005,2.5e-07
DP100 Sponsorship,1/11/2021,Azure DNS,Public Zones,0.026882,0.013441
DP100 Sponsorship,1/11/2021,Bandwidth,Data Transfer Out,0.047942,0.004170954
DP100 Sponsorship,1/11/2021,Storage,Batch Write Operations,0.0128,4.608e-06
DP100 Sponsorship,1/11/2021,Storage,P4 Disks,0.055104,0.3199999488
DP100 Sponsorship,1/11/2021,Virtual Machines,D2 v3/D2s v3,4.983353,0.59800236
DP100 Sponsorship,1/11/2021,Virtual Network,Dynamic Public IP,2.033333,0.008133332
DP100 Sponsorship,1/12/2021,Logic Apps,Built-in Actions,2.0,5e-05
DP100 Sponsorship,1/12/2021,Virtual Network,Static Public IP,2.763889,0.0099500004
DP100 Sponsorship,1/12/2021,Logic Apps,Data Retention,3e-06,3.6e-07
DP100 Sponsorship,1/12/2021,Logic Apps,Standard Connector Actions,1.0,0.000125
DP100 Sponsorship,1/12/2021,Virtual Machines,D4 v3/D4s v3,26.183356,6.28400544
DP100 Sponsorship,1/12/2021,Bandwidth,Data Transfer Out,0.071641,0.006232767
DP100 Sponsorship,1/12/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.003602,0.0001801
DP100 Sponsorship,1/12/2021,Storage,P4 Disks,0.036288,0.2107316736
DP100 Sponsorship,1/12/2021,Virtual Network,Dynamic Public IP,23.783334,0.095133336
DP100 Sponsorship,1/13/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/13/2021,Virtual Network,Static Public IP,18.0,0.0648
DP100 Sponsorship,1/13/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/13/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/13/2021,Virtual Machines,D4 v3/D4s v3,38.266672,9.18400128
DP100 Sponsorship,1/13/2021,Bandwidth,Data Transfer Out,0.126822,0.011033514
DP100 Sponsorship,1/13/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,5e-06,2.5e-07
DP100 Sponsorship,1/13/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/13/2021,Virtual Network,Dynamic Public IP,24.121944,0.096487776
DP100 Sponsorship,1/14/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/14/2021,Virtual Network,Static Public IP,22.0,0.0792
DP100 Sponsorship,1/14/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/14/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/14/2021,Virtual Machines,D4 v3/D4s v3,25.233358,6.05600592
DP100 Sponsorship,1/14/2021,Bandwidth,Data Transfer Out,0.050929,0.004430823
DP100 Sponsorship,1/14/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,5.5e-05,2.75e-06
DP100 Sponsorship,1/14/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/14/2021,Virtual Network,Dynamic Public IP,10.233333,0.040933332
DP100 Sponsorship,1/15/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/15/2021,Virtual Network,Static Public IP,25.998611,0.0935949996
DP100 Sponsorship,1/15/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/15/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/15/2021,Virtual Machines,D4 v3/D4s v3,25.233338,6.05600112
DP100 Sponsorship,1/15/2021,Bandwidth,Data Transfer Out,0.037594,0.003270678
DP100 Sponsorship,1/15/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,5e-06,2.5e-07
DP100 Sponsorship,1/15/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/15/2021,Virtual Network,Dynamic Public IP,13.131944,0.052527776
DP100 Sponsorship,1/16/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/16/2021,Virtual Network,Static Public IP,24.986389,0.0899510004
DP100 Sponsorship,1/16/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/16/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/16/2021,Virtual Machines,D4 v3/D4s v3,25.16669,6.0400056
DP100 Sponsorship,1/16/2021,Bandwidth,Data Transfer Out,0.005329,0.000463623
DP100 Sponsorship,1/16/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/16/2021,Virtual Network,Dynamic Public IP,10.194444,0.040777776
DP100 Sponsorship,1/17/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/17/2021,Virtual Network,Static Public IP,20.986111,0.0755499996
DP100 Sponsorship,1/17/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/17/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/17/2021,Virtual Machines,D4 v3/D4s v3,28.883351,6.93200424
DP100 Sponsorship,1/17/2021,Bandwidth,Data Transfer Out,0.063322,0.005509014
DP100 Sponsorship,1/17/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000407,2.035e-05
DP100 Sponsorship,1/17/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/17/2021,Virtual Network,Dynamic Public IP,14.194444,0.056777776
DP100 Sponsorship,1/18/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/18/2021,Virtual Network,Static Public IP,20.985833,0.0755489988
DP100 Sponsorship,1/18/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/18/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/18/2021,Virtual Machines,D4 v3/D4s v3,32.183357,7.72400568
DP100 Sponsorship,1/18/2021,Bandwidth,Data Transfer Out,0.020802,0.001809774
DP100 Sponsorship,1/18/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000459,2.295e-05
DP100 Sponsorship,1/18/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/18/2021,Virtual Network,Dynamic Public IP,21.228333,0.084913332
DP100 Sponsorship,1/19/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/19/2021,Virtual Network,Static Public IP,25.0,0.09
DP100 Sponsorship,1/19/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/19/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/19/2021,Virtual Machines,D4 v3/D4s v3,25.200004,6.04800096
DP100 Sponsorship,1/19/2021,Bandwidth,Data Transfer Out,0.018657,0.001623159
DP100 Sponsorship,1/19/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.001338,6.69e-05
DP100 Sponsorship,1/19/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/19/2021,Virtual Network,Dynamic Public IP,13.214722,0.052858888
DP100 Sponsorship,1/20/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/20/2021,Virtual Network,Static Public IP,28.0,0.1008
DP100 Sponsorship,1/20/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/20/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/20/2021,Virtual Machines,D4 v3/D4s v3,25.266672,6.06400128
DP100 Sponsorship,1/20/2021,Bandwidth,Data Transfer Out,0.027309,0.002375883
DP100 Sponsorship,1/20/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,4e-06,2e-07
DP100 Sponsorship,1/20/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/20/2021,Virtual Network,Dynamic Public IP,13.281111,0.053124444
DP100 Sponsorship,1/21/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/21/2021,Virtual Network,Static Public IP,17.985278,0.0647470008
DP100 Sponsorship,1/21/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/21/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/21/2021,Virtual Machines,D4 v3/D4s v3,25.233378,6.05601072
DP100 Sponsorship,1/21/2021,Bandwidth,Data Transfer Out,0.062678,0.005452986
DP100 Sponsorship,1/21/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,2e-06,1e-07
DP100 Sponsorship,1/21/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/21/2021,Virtual Network,Dynamic Public IP,11.233333,0.044933332
DP100 Sponsorship,1/22/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/22/2021,Virtual Network,Static Public IP,25.970556,0.0934940016
DP100 Sponsorship,1/22/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/22/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/22/2021,Virtual Machines,D4 v3/D4s v3,25.233358,6.05600592
DP100 Sponsorship,1/22/2021,Bandwidth,Data Transfer Out,0.009811,0.000853557
DP100 Sponsorship,1/22/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/22/2021,Virtual Network,Dynamic Public IP,10.131667,0.040526668
DP100 Sponsorship,1/23/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/23/2021,Virtual Network,Static Public IP,29.0,0.1044
DP100 Sponsorship,1/23/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/23/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/23/2021,Virtual Machines,D4 v3/D4s v3,25.266672,6.06400128
DP100 Sponsorship,1/23/2021,Bandwidth,Data Transfer Out,0.015743,0.001369641
DP100 Sponsorship,1/23/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000456,2.28e-05
DP100 Sponsorship,1/23/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/23/2021,Virtual Network,Dynamic Public IP,11.135833,0.044543332
DP100 Sponsorship,1/24/2021,Logic Apps,Built-in Actions,4.0,0.0001
DP100 Sponsorship,1/24/2021,Virtual Network,Static Public IP,26.0,0.0936
DP100 Sponsorship,1/24/2021,Logic Apps,Data Retention,6e-06,7.2e-07
DP100 Sponsorship,1/24/2021,Logic Apps,Standard Connector Actions,2.0,0.00025
DP100 Sponsorship,1/24/2021,Virtual Machines,D4 v3/D4s v3,25.350027,6.08400648
DP100 Sponsorship,1/24/2021,Bandwidth,Data Transfer Out,0.003367,0.000292929
DP100 Sponsorship,1/24/2021,Storage,P4 Disks,0.064512,0.3746340864
DP100 Sponsorship,1/24/2021,Virtual Network,Dynamic Public IP,11.158889,0.044635556
DP100 Sponsorship,1/25/2021,Logic Apps,Built-in Actions,6.0,0.00015
DP100 Sponsorship,1/25/2021,Storage,S4 Disks,0.00672,0.01032192
DP100 Sponsorship,1/25/2021,Virtual Network,Static Public IP,103.816667,0.3737400012
DP100 Sponsorship,1/25/2021,Logic Apps,Data Retention,9e-06,1.08e-06
DP100 Sponsorship,1/25/2021,Logic Apps,Standard Connector Actions,3.0,0.000375
DP100 Sponsorship,1/25/2021,Virtual Machines,D4 v3/D4s v3,60.950099,14.62802376
DP100 Sponsorship,1/25/2021,Storage,LRS Snapshots,1.993913,0.09969565
DP100 Sponsorship,1/25/2021,Storage,Disk Operations,5.0165,0.00250825
DP100 Sponsorship,1/25/2021,Bandwidth,Data Transfer Out,0.260403,0.022655061
DP100 Sponsorship,1/25/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,5e-06,2.5e-07
DP100 Sponsorship,1/25/2021,Storage,P4 Disks,0.176064,1.0224388608
DP100 Sponsorship,1/25/2021,Virtual Network,Dynamic Public IP,6.099166,0.024396664
DP100 Sponsorship,1/26/2021,Logic Apps,Built-in Actions,22.0,0.00055
DP100 Sponsorship,1/26/2021,Virtual Network,Static Public IP,228.905279,0.8240590044
DP100 Sponsorship,1/26/2021,Logic Apps,Data Retention,3.4e-05,4.08e-06
DP100 Sponsorship,1/26/2021,Logic Apps,Standard Connector Actions,11.0,0.001375
DP100 Sponsorship,1/26/2021,Virtual Machines,D4 v3/D4s v3,130.416695,31.3000068
DP100 Sponsorship,1/26/2021,Storage,LRS Snapshots,4.998681,0.24993405
DP100 Sponsorship,1/26/2021,Bandwidth,Data Transfer Out,0.08718,0.00758466
DP100 Sponsorship,1/26/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000816,4.08e-05
DP100 Sponsorship,1/26/2021,Storage,P4 Disks,0.354816,2.0604874752
DP100 Sponsorship,1/27/2021,Logic Apps,Built-in Actions,22.0,0.00055
DP100 Sponsorship,1/27/2021,Virtual Network,Static Public IP,247.911666,0.8924819976
DP100 Sponsorship,1/27/2021,Logic Apps,Data Retention,3.4e-05,4.08e-06
DP100 Sponsorship,1/27/2021,Logic Apps,Standard Connector Actions,11.0,0.001375
DP100 Sponsorship,1/27/2021,Virtual Machines,D4 v3/D4s v3,130.250105,31.2600252
DP100 Sponsorship,1/27/2021,Storage,LRS Snapshots,5.01912,0.250956
DP100 Sponsorship,1/27/2021,Bandwidth,Data Transfer Out,0.246109,0.021411483
DP100 Sponsorship,1/27/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000379,1.895e-05
DP100 Sponsorship,1/27/2021,Storage,P4 Disks,0.354816,2.0604874752
DP100 Sponsorship,1/28/2021,Bandwidth,Data Transfer Out,2e-06,4e-08
DP100 Sponsorship,1/28/2021,Logic Apps,Built-in Actions,22.0,0.00055
DP100 Sponsorship,1/28/2021,Virtual Network,Static Public IP,227.955555,0.820639998
DP100 Sponsorship,1/28/2021,Logic Apps,Data Retention,3.4e-05,4.08e-06
DP100 Sponsorship,1/28/2021,Logic Apps,Standard Connector Actions,11.0,0.001375
DP100 Sponsorship,1/28/2021,Virtual Machines,D4 v3/D4s v3,130.633446,31.35202704
DP100 Sponsorship,1/28/2021,Storage,LRS Snapshots,5.01912,0.250956
DP100 Sponsorship,1/28/2021,Bandwidth,Data Transfer Out,0.211202,0.018374574
DP100 Sponsorship,1/28/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000764,3.82e-05
DP100 Sponsorship,1/28/2021,Storage,P4 Disks,0.354816,2.0604874752
DP100 Sponsorship,1/29/2021,Bandwidth,Data Transfer Out,1.4e-05,2.8e-07
DP100 Sponsorship,1/29/2021,Logic Apps,Built-in Actions,22.0,0.00055
DP100 Sponsorship,1/29/2021,Virtual Network,Static Public IP,238.935275,0.86016699
DP100 Sponsorship,1/29/2021,Logic Apps,Data Retention,3.4e-05,4.08e-06
DP100 Sponsorship,1/29/2021,Logic Apps,Standard Connector Actions,11.0,0.001375
DP100 Sponsorship,1/29/2021,Virtual Machines,D4 v3/D4s v3,130.933392,31.42401408
DP100 Sponsorship,1/29/2021,Storage,LRS Snapshots,5.01912,0.250956
DP100 Sponsorship,1/29/2021,Bandwidth,Data Transfer Out,0.711485,0.061899195
DP100 Sponsorship,1/29/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000396,1.98e-05
DP100 Sponsorship,1/29/2021,Storage,P4 Disks,0.354816,2.0604874752
DP100 Sponsorship,1/30/2021,Bandwidth,Data Transfer Out,2e-06,4e-08
DP100 Sponsorship,1/30/2021,Logic Apps,Built-in Actions,22.0,0.00055
DP100 Sponsorship,1/30/2021,Virtual Network,Static Public IP,245.844166,0.8850389976
DP100 Sponsorship,1/30/2021,Logic Apps,Data Retention,3.4e-05,4.08e-06
DP100 Sponsorship,1/30/2021,Logic Apps,Standard Connector Actions,11.0,0.001375
DP100 Sponsorship,1/30/2021,Virtual Machines,D4 v3/D4s v3,130.16673,31.2400152
DP100 Sponsorship,1/30/2021,Storage,LRS Snapshots,5.01912,0.250956
DP100 Sponsorship,1/30/2021,Bandwidth,Data Transfer Out,0.033596,0.002922852
DP100 Sponsorship,1/30/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,2e-06,1e-07
DP100 Sponsorship,1/30/2021,Storage,P4 Disks,0.354816,2.0604874752
DP100 Sponsorship,1/31/2021,Bandwidth,Data Transfer Out,9e-06,1.8e-07
DP100 Sponsorship,1/31/2021,Logic Apps,Built-in Actions,22.0,0.00055
DP100 Sponsorship,1/31/2021,Virtual Network,Static Public IP,227.866387,0.8203189932
DP100 Sponsorship,1/31/2021,Logic Apps,Data Retention,3.4e-05,4.08e-06
DP100 Sponsorship,1/31/2021,Logic Apps,Standard Connector Actions,11.0,0.001375
DP100 Sponsorship,1/31/2021,Virtual Machines,D4 v3/D4s v3,130.133476,31.23203424
DP100 Sponsorship,1/31/2021,Storage,LRS Snapshots,5.01912,0.250956
DP100 Sponsorship,1/31/2021,Bandwidth,Data Transfer Out,0.015815,0.001375905
DP100 Sponsorship,1/31/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,6e-06,3e-07
DP100 Sponsorship,1/31/2021,Storage,P4 Disks,0.354816,2.0604874752
DP100 Sponsorship,2/1/2021,Logic Apps,Built-in Actions,22.0,0.00055
DP100 Sponsorship,2/1/2021,Virtual Network,Static Public IP,317.503886,1.1430139896
DP100 Sponsorship,2/1/2021,Logic Apps,Data Retention,3.4e-05,4.08e-06
DP100 Sponsorship,2/1/2021,Logic Apps,Standard Connector Actions,11.0,0.001375
DP100 Sponsorship,2/1/2021,Virtual Machines,D4 v3/D4s v3,180.783569,43.38805656
DP100 Sponsorship,2/1/2021,Storage,LRS Snapshots,5.827296,0.2913648
DP100 Sponsorship,2/1/2021,Storage,Disk Operations,0.0025,1.25e-06
DP100 Sponsorship,2/1/2021,Bandwidth,Data Transfer Out,0.286934,0.024963258
DP100 Sponsorship,2/1/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.002396,0.0001198
DP100 Sponsorship,2/1/2021,Storage,P4 Disks,0.549072,3.1885709184
DP100 Sponsorship,2/1/2021,Virtual Network,Dynamic Public IP,1.618333,0.006473332
DP100 Sponsorship,2/2/2021,Bandwidth,Data Transfer Out,0.000206,4.12e-06
DP100 Sponsorship,2/2/2021,Logic Apps,Built-in Actions,18.0,0.00045
DP100 Sponsorship,2/2/2021,Virtual Network,Static Public IP,440.829443,1.5869859948
DP100 Sponsorship,2/2/2021,Logic Apps,Data Retention,2.4e-05,2.88e-06
DP100 Sponsorship,2/2/2021,Logic Apps,Standard Connector Actions,8.0,0.001
DP100 Sponsorship,2/2/2021,Virtual Machines,D4 v3/D4s v3,117.950119,28.30802856
DP100 Sponsorship,2/2/2021,Storage,LRS Snapshots,6.120504,0.3060252
DP100 Sponsorship,2/2/2021,Bandwidth,Data Transfer Out,0.090203,0.007847661
DP100 Sponsorship,2/2/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000767,3.835e-05
DP100 Sponsorship,2/2/2021,Storage,P4 Disks,0.71424,4.147734528
DP100 Sponsorship,2/3/2021,Bandwidth,Data Transfer Out,4e-06,8e-08
DP100 Sponsorship,2/3/2021,Logic Apps,Built-in Actions,36.0,0.0009
DP100 Sponsorship,2/3/2021,Virtual Network,Static Public IP,430.783613,1.5508210068
DP100 Sponsorship,2/3/2021,Logic Apps,Data Retention,5.4e-05,6.48e-06
DP100 Sponsorship,2/3/2021,Logic Apps,Standard Connector Actions,18.0,0.00225
DP100 Sponsorship,2/3/2021,Virtual Machines,D4 v3/D4s v3,206.850117,49.64402808
DP100 Sponsorship,2/3/2021,Storage,LRS Snapshots,6.120504,0.3060252
DP100 Sponsorship,2/3/2021,Bandwidth,Data Transfer Out,0.276226,0.024031662
DP100 Sponsorship,2/3/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000155,7.75e-06
DP100 Sponsorship,2/3/2021,Storage,P4 Disks,0.71424,4.147734528
DP100 Sponsorship,2/4/2021,Bandwidth,Data Transfer Out,0.00066,1.32e-05
DP100 Sponsorship,2/4/2021,Logic Apps,Built-in Actions,34.0,0.00085
DP100 Sponsorship,2/4/2021,Virtual Network,Static Public IP,412.837502,1.4862150072
DP100 Sponsorship,2/4/2021,Logic Apps,Data Retention,5.1e-05,6.12e-06
DP100 Sponsorship,2/4/2021,Logic Apps,Standard Connector Actions,17.0,0.002125
DP100 Sponsorship,2/4/2021,Network Watcher,Diagnostic Tool API,1.0,0.001
DP100 Sponsorship,2/4/2021,Virtual Machines,D4 v3/D4s v3,202.366834,48.56804016
DP100 Sponsorship,2/4/2021,Storage,LRS Snapshots,6.120504,0.3060252
DP100 Sponsorship,2/4/2021,Bandwidth,Data Transfer Out,0.177715,0.015461205
DP100 Sponsorship,2/4/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000338,1.69e-05
DP100 Sponsorship,2/4/2021,Storage,P4 Disks,0.71424,4.147734528
DP100 Sponsorship,2/5/2021,Logic Apps,Built-in Actions,36.0,0.0009
DP100 Sponsorship,2/5/2021,Virtual Network,Static Public IP,447.859168,1.6122930048
DP100 Sponsorship,2/5/2021,Logic Apps,Data Retention,5.4e-05,6.48e-06
DP100 Sponsorship,2/5/2021,Logic Apps,Standard Connector Actions,18.0,0.00225
DP100 Sponsorship,2/5/2021,Virtual Machines,D4 v3/D4s v3,203.466816,48.83203584
DP100 Sponsorship,2/5/2021,Storage,LRS Snapshots,6.120504,0.3060252
DP100 Sponsorship,2/5/2021,Bandwidth,Data Transfer Out,0.96089,0.08359743
DP100 Sponsorship,2/5/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,0.000996,4.98e-05
DP100 Sponsorship,2/5/2021,Storage,P4 Disks,0.71424,4.147734528
DP100 Sponsorship,2/6/2021,Logic Apps,Built-in Actions,66.0,0.00165
DP100 Sponsorship,2/6/2021,Virtual Network,Static Public IP,475.755836,1.7127210096
DP100 Sponsorship,2/6/2021,Logic Apps,Data Retention,0.0001,1.2e-05
DP100 Sponsorship,2/6/2021,Logic Apps,Standard Connector Actions,33.0,0.004125
DP100 Sponsorship,2/6/2021,Virtual Machines,D4 v3/D4s v3,223.933412,53.74401888
DP100 Sponsorship,2/6/2021,Storage,LRS Snapshots,6.120504,0.3060252
DP100 Sponsorship,2/6/2021,Bandwidth,Data Transfer Out,0.0157,0.0013659
DP100 Sponsorship,2/6/2021,Storage,P4 Disks,0.71424,4.147734528
DP100 Sponsorship,2/7/2021,Bandwidth,Data Transfer Out,0.001009,2.018e-05
DP100 Sponsorship,2/7/2021,Logic Apps,Built-in Actions,68.0,0.0017
DP100 Sponsorship,2/7/2021,Virtual Network,Static Public IP,456.655558,1.6439600088
DP100 Sponsorship,2/7/2021,Logic Apps,Data Retention,0.000103,1.236e-05
DP100 Sponsorship,2/7/2021,Logic Apps,Standard Connector Actions,34.0,0.00425
DP100 Sponsorship,2/7/2021,Virtual Machines,D4 v3/D4s v3,215.850097,51.80402328
DP100 Sponsorship,2/7/2021,Storage,LRS Snapshots,6.120504,0.3060252
DP100 Sponsorship,2/7/2021,Bandwidth,Data Transfer Out,0.007647,0.000665289
DP100 Sponsorship,2/7/2021,Storage,P4 Disks,0.71424,4.147734528
DP100 Sponsorship,2/8/2021,Bandwidth,Data Transfer Out,0.001162,2.324e-05
DP100 Sponsorship,2/8/2021,Logic Apps,Built-in Actions,34.0,0.00085
DP100 Sponsorship,2/8/2021,Virtual Network,Static Public IP,432.816668,1.5581400048
DP100 Sponsorship,2/8/2021,Logic Apps,Data Retention,5.1e-05,6.12e-06
DP100 Sponsorship,2/8/2021,Logic Apps,Standard Connector Actions,17.0,0.002125
DP100 Sponsorship,2/8/2021,Virtual Machines,D4 v3/D4s v3,207.650173,49.83604152
DP100 Sponsorship,2/8/2021,Storage,LRS Snapshots,6.120504,0.3060252
DP100 Sponsorship,2/8/2021,Bandwidth,Data Transfer Out,0.071714,0.006239118
DP100 Sponsorship,2/8/2021,Bandwidth,Data Transfer Out - NAM or EU To Any,4e-06,2e-07
DP100 Sponsorship,2/8/2021,Storage,P4 Disks,0.71424,4.147734528
DP100 Sponsorship,2/9/2021,Bandwidth,Data Transfer Out,2e-06,4e-08
